0,1345,821,1287,1152,1817,1064,1192,1537,1096,1415,1084,865,795,1562,1698,433,1345,1316,1891,1352,441,821,492,494,1254,1180,2295,2493,795,865,828,2032,1559,725,1644,520,1102,1362,1508,2046,983,1556,1197,2310,942,1596,1197,1762,1210,821,X,725,996,1208,1824,932,1040,1478,556,X,1197,820,1837,795,2213,1084,X,1287,1886,436,1556,X,856,824,1545,494,2150,1268,1980,1102
2360,0,874,672,1205,1777,1020,1183,1528,1674,461,1536,856,848,1615,1654,1011,1336,1437,1276,1405,1000,874,607,609,391,565,2416,2546,848,856,819,1607,1515,1190,1741,1098,1058,1415,655,2002,1098,1607,1250,2407,933,1552,1128,1753,1201,-14,X,1190,1231,1164,2276,1397,971,1290,926,X,1250,921,1649,848,2204,1662,X,672,1842,1098,1607,X,847,995,1505,1072,1376,1259,1911,1058
1583,725,0,466,331,1571,1098,977,1160,941,698,929,650,64,741,877,278,1130,1231,1070,621,475,855,337,339,1116,359,2210,1672,-26,650,613,1211,738,759,964,365,281,955,1101,1281,365,735,1064,1630,727,775,922,1214,937,683,X,759,1030,387,1669,927,765,1512,401,X,1116,854,1871,-26,1998,929,X,466,1111,365,735,X,641,789,1299,419,1329,1053,1705,281
2150,664,708,0,1039,1105,829,511,856,1092,1077,1142,219,682,1449,1585,491,664,765,1778,1239,328,708,550,552,1055,1067,1744,2380,682,184,233,1854,1446,612,1531,578,989,833,902,1811,765,1298,1065,2197,261,1483,1255,1081,529,622,X,612,883,1095,1882,819,1098,1365,254,X,1065,707,1724,682,1532,1142,X,1174,1651,578,1443,X,175,323,919,552,1623,587,2038,989
2122,799,843,135,0,1240,964,646,991,1227,367,1238,319,817,1584,1416,587,799,900,739,1374,463,843,646,648,1190,28,1879,2515,817,319,282,1694,1277,747,1503,674,820,898,844,950,711,404,733,2169,396,1314,591,1216,664,757,X,747,1018,926,1978,954,434,1244,389,X,1200,842,1603,817,1667,1238,X,135,1650,674,356,X,310,458,968,648,1565,722,1374,820
1948,1090,275,831,696,0,809,1342,1525,1306,1063,1294,1015,339,1106,1242,643,1495,1596,1435,896,840,1220,702,704,341,724,2575,2037,339,1015,978,1557,1103,1124,1329,730,646,1320,605,1646,730,1100,1429,1995,1092,1140,1287,674,1302,1048,X,1124,741,752,2034,1292,1130,1336,766,X,1481,1219,1695,339,1125,1294,X,831,1476,730,1100,X,1006,1154,1664,704,1326,180,2070,646
2380,1587,1567,1328,1193,1868,0,1749,2022,1653,882,1641,1422,836,1603,1674,990,1759,1264,1932,2098,1187,1567,1049,1051,1978,1221,2243,2534,836,1422,1385,1726,1535,1471,1761,1077,1078,1413,1559,982,1227,919,1248,2427,1499,1572,1754,2011,1734,1545,X,1471,1742,1184,2381,1678,1597,1759,1113,X,1564,1566,2118,836,2770,1641,X,1328,822,1077,919,X,1413,822,1596,1051,1844,1825,2537,1078
1976,1118,1133,859,724,790,1376,0,345,1249,1091,1207,864,1107,1874,1270,556,1468,1569,1463,1664,753,1133,615,617,1131,752,2548,2805,367,988,951,1343,1131,1037,1357,643,674,518,391,1674,758,1128,1457,2023,1065,1168,1315,1464,18,1076,X,1037,1308,780,1947,1244,1158,1790,679,X,1509,1132,2149,367,1915,1207,X,859,1504,758,1128,X,979,1127,518,617,1112,970,2098,674
1631,773,903,514,379,1619,1146,1025,0,989,746,977,698,877,1644,925,326,1178,1279,1118,1434,523,903,385,387,1164,407,2258,2575,22,698,661,1259,786,807,1012,413,329,1003,1149,1329,413,783,1112,1678,775,778,970,1262,985,731,X,807,1078,435,1717,1014,813,1560,449,X,1164,902,1919,-38,2046,977,X,514,1159,413,783,X,689,837,1347,387,1377,1101,1753,329
1935,828,493,959,824,1465,736,675,1020,0,898,567,348,467,1234,1370,-84,828,929,1563,1024,113,493,-25,-23,926,852,1908,2165,467,348,311,1697,1231,397,1316,3,774,1034,1066,1718,466,1228,869,1982,425,1268,680,1245,693,493,X,397,668,880,1307,604,523,1150,39,X,869,492,1509,467,1696,567,X,959,1558,-81,1228,X,339,487,1193,-33,1787,751,1463,774
