0,737,263,X,383,768,1546,1319,X,1235,137,X,731,572,647,800,957,586,675,675,737,203,29,543,755,1131,736
366,0,227,X,304,689,1265,888,X,804,503,X,652,906,366,689,478,445,394,394,1103,569,366,717,1121,437,1102
562,752,0,X,120,505,1574,1400,X,1316,342,X,468,875,562,505,990,791,590,703,942,408,213,571,1090,1146,1071
151,253,139,0,259,50,1119,528,X,861,288,X,13,691,220,50,535,698,248,248,888,354,151,116,716,690,697
442,589,356,X,0,861,1639,1412,X,1328,230,X,824,755,442,861,1050,679,416,768,830,296,90,636,970,1026,951
442,841,170,X,209,0,1341,895,X,811,431,X,557,964,442,594,566,880,470,499,1031,497,302,660,1179,988,1160
873,614,798,X,918,1095,0,1070,X,986,1005,X,1266,1413,873,1303,660,1016,901,1008,614,1071,873,1224,749,1008,730
1126,717,765,X,885,1270,742,0,X,1564,1107,X,1233,1640,1126,1270,1238,1162,1154,1154,1356,1173,978,1336,1491,1154,1472
1055,844,807,X,927,1312,826,84,0,906,681,X,1275,1206,1055,1312,1167,1130,1083,1083,1281,747,541,1087,1421,1083,1402
149,844,412,X,532,839,826,84,X,0,286,X,880,689,149,868,261,735,177,177,886,352,149,500,904,177,885
633,600,126,X,246,631,1532,1182,X,1098,0,X,594,1001,633,631,820,449,661,661,600,66,339,529,1216,994,1197
761,1043,1024,X,1144,1451,429,922,X,838,898,0,1492,1301,761,1529,1089,1347,789,737,1043,964,761,1112,1178,1015,1159
138,875,126,X,246,37,1106,932,X,848,275,X,0,678,207,37,522,724,235,235,875,341,138,103,703,1025,684
339,1076,602,X,722,480,1693,1306,X,1222,476,X,1070,0,339,1107,896,925,367,770,1076,542,339,690,215,1399,196
-32,737,263,X,383,687,1546,1319,X,1235,137,X,731,540,0,768,957,586,210,675,737,203,0,543,755,1131,736
69,838,89,X,209,-81,1069,895,X,811,238,X,557,641,170,0,485,687,198,198,838,304,101,66,856,988,837
475,945,471,X,591,976,1152,410,X,326,345,X,939,1015,475,976,0,794,503,503,945,411,475,826,1230,503,1211
400,1137,663,X,783,1090,1475,733,X,649,537,X,1131,940,400,1168,910,0,374,826,1137,603,400,751,1155,826,1136
-28,709,235,X,355,662,1326,1291,X,1207,109,X,703,512,26,740,929,558,0,455,709,175,23,377,727,1103,708
-28,709,235,X,355,662,923,1291,X,1207,109,X,703,512,-28,740,929,558,-2,0,709,227,-28,323,727,1103,708
366,-43,184,X,304,689,1265,888,X,804,503,X,652,906,366,689,478,402,394,394,0,569,366,717,1121,394,1102
567,534,718,X,838,802,1466,1164,X,1080,704,X,1186,1107,567,1223,754,936,595,595,534,0,567,463,1322,928,1303
647,737,263,X,383,768,1546,1319,X,1235,140,X,731,665,647,768,957,586,675,675,737,203,0,546,877,1131,858
72,841,367,X,487,258,1003,1234,X,1150,241,X,835,644,104,872,824,690,132,80,841,307,104,0,859,1235,840
124,818,387,X,507,265,1478,1241,X,1157,261,X,855,664,124,892,831,710,98,607,861,327,124,475,0,1255,860
-28,709,235,X,355,662,871,494,X,410,109,X,703,512,-28,740,84,558,0,-52,709,175,-28,323,727,0,708
143,880,406,X,526,365,1497,1110,X,1026,280,X,874,683,143,911,700,729,171,626,880,346,143,494,19,1203,0
