0,0,0;0,0
0,17,913;0,64,551,131,715,342,17,0
0,20,807;0,64,612,106,234,20,0
0,22,668;0,64,105,452,498,411,22,0
0,27,672;0,64,612,603,263,27,0
0,38,876;0,275,658,633,38,0
0,58,853;0,64,105,167,255,58,0
0,64,45;0,64,0
0,67,946;0,64,612,106,234,270,67,0
0,69,990;0,64,551,72,524,69,0
0,72,717;0,64,551,72,0
0,73,807;0,275,658,664,417,73,0
0,80,697;0,569,88,80,0
0,88,648;0,569,88,0
0,105,76;0,64,105,0
0,106,296;0,64,612,106,0
0,107,734;0,569,662,107,0
0,110,859;0,64,612,106,234,20,110,0
0,121,844;0,569,662,107,121,0
0,124,1000;0,64,105,452,498,426,522,573,667,124,0
0,130,989;0,64,551,131,588,702,648,712,130,0
0,131,463;0,64,551,131,0
0,132,868;0,64,612,603,295,132,0
0,140,690;0,275,140,0
0,149,991;0,64,551,131,715,149,0
0,165,1004;0,64,551,394,165,0
0,166,786;0,569,662,107,166,0
0,167,644;0,64,105,167,0
0,171,933;0,64,105,452,498,489,692,171,0
0,172,993;0,64,551,131,588,601,172,0
0,173,815;0,569,273,599,360,173,0
0,176,753;0,64,612,603,263,27,176,0
0,182,985;0,275,658,664,417,354,182,0
0,196,823;0,64,105,452,498,196,0
0,199,932;0,64,105,452,498,196,199,0
0,204,932;0,64,105,452,285,204,0
0,214,739;0,64,551,131,588,214,0
0,228,862;0,64,105,167,255,228,0
0,229,837;0,64,551,131,588,214,386,229,0
0,234,437;0,64,612,106,234,0
0,240,601;0,64,105,452,498,426,240,0
0,244,987;0,64,105,167,255,58,244,0
0,247,835;0,64,612,603,416,247,0
0,252,883;0,64,252,0
0,255,782;0,64,105,167,255,0
0,262,798;0,275,262,0
0,263,550;0,64,612,603,263,0
0,265,996;0,64,105,452,460,672,265,0
0,270,758;0,64,612,106,234,270,0
0,273,375;0,569,273,0
0,275,517;0,275,0
0,281,962;0,64,105,281,0
0,285,675;0,64,105,452,285,0
0,288,767;0,64,612,603,263,27,176,288,0
0,289,806;0,64,612,603,263,27,176,289,0
0,295,822;0,64,612,603,295,0
0,299,754;0,275,658,664,299,0
0,317,595;0,275,317,0
0,321,979;0,64,105,452,498,426,240,481,321,0
0,325,852;0,64,612,603,263,27,176,325,0
0,329,940;0,64,612,603,263,27,176,289,400,329,0
0,342,667;0,64,551,131,715,342,0
0,344,964;0,64,105,452,498,426,522,344,0
0,354,899;0,275,658,664,417,354,0
0,360,656;0,569,273,599,360,0
0,368,650;0,569,273,368,0
0,382,717;0,64,551,131,715,382,0
0,386,764;0,64,551,131,588,214,386,0
0,394,463;0,64,551,394,0
0,400,905;0,64,612,603,263,27,176,289,400,0
0,407,741;0,569,273,407,0
0,411,607;0,64,105,452,498,411,0
0,416,710;0,64,612,603,416,0
0,417,769;0,275,658,664,417,0
0,418,955;0,64,612,603,263,27,176,325,705,418,0
0,424,979;0,64,612,603,263,27,176,325,705,424,0
0,426,506;0,64,105,452,498,426,0
0,432,974;0,64,105,432,0
0,442,936;0,64,551,72,442,0
0,448,551;0,64,105,452,498,426,448,0
0,450,963;0,64,612,106,453,450,0
0,452,182;0,64,105,452,0
0,453,831;0,64,612,106,453,0
0,454,926;0,64,551,131,588,702,454,0
0,457,795;0,64,612,457,0
0,458,960;0,275,658,664,417,73,458,0
0,460,937;0,64,105,452,460,0
0,481,770;0,64,105,452,498,426,240,481,0
0,487,826;0,569,88,487,0
0,489,641;0,64,105,452,498,489,0
0,492,703;0,64,551,131,715,342,492,0
0,498,308;0,64,105,452,498,0
0,506,988;0,569,88,80,598,593,506,0
0,507,903;0,64,612,507,0
0,515,805;0,515,0
0,522,550;0,64,105,452,498,426,522,0
0,524,790;0,64,551,72,524,0
0,533,967;0,64,612,106,234,570,533,0
0,534,859;0,64,612,106,234,270,534,0
0,548,990;0,64,551,394,548,0
0,551,324;0,64,551,0
0,555,951;0,64,612,457,555,0
0,559,680;0,64,612,106,234,570,559,0
0,560,992;0,64,612,457,560,0
0,569,288;0,569,0
0,570,547;0,64,612,106,234,570,0
0,573,827;0,64,105,452,498,426,522,573,0
0,588,580;0,64,551,131,588,0
0,589,823;0,64,612,106,234,270,589,0
0,591,876;0,64,551,591,0
0,593,900;0,569,88,80,598,593,0
0,598,848;0,569,88,80,598,0
0,599,644;0,569,273,599,0
0,601,716;0,64,551,131,588,601,0
0,603,428;0,64,612,603,0
0,612,215;0,64,612,0
0,633,715;0,275,658,633,0
0,634,968;0,275,658,664,417,354,634,0
0,648,946;0,64,551,131,588,702,648,0
0,654,926;0,64,105,452,498,426,522,573,654,0
0,658,613;0,275,658,0
0,662,504;0,569,662,0
0,664,702;0,275,658,664,0
0,667,983;0,64,105,452,498,426,522,573,667,0
0,670,939;0,64,612,106,670,0
0,672,971;0,64,105,452,460,672,0
0,690,803;0,64,612,603,263,27,176,288,690,0
0,692,704;0,64,105,452,498,489,692,0
0,695,764;0,64,612,106,234,570,695,0
0,699,983;0,569,273,599,360,173,699,0
0,702,648;0,64,551,131,588,702,0
0,704,878;0,64,105,452,498,426,240,481,704,0
0,705,867;0,64,612,603,263,27,176,325,705,0
0,712,959;0,64,551,131,588,702,648,712,0
0,715,596;0,64,551,131,715,0
0,724,707;0,64,612,106,234,724,0
